type,lat_dms,lat_d,lat_m,lat_s,lat_dd,long_dms,long_d,long_m,long_s,long_dd,label,location,notes,live
Year-round,48 11.250,48,11,250,48.25277778,W124 49.000,124,49,0,-124.8166667,C 1-1,Inside at Cape Alava,,11/1/19
Year-round,48 13.400,48,13,400,48.32777778,W124 57.900,124,57,900,-125.2,C 1-2,,,11/1/19
Year-round,46 56.250,46,56,250,47.00277778,W124 29.600,124,29,600,-124.65,C 2-16,,,11/1/19
Year-round,46 51.700,46,51,700,47.04444444,W124 17.000,124,17,0,-124.2833333,C 2-15,,,11/1/19
Year-round,46 53.150,46,53,150,46.925,W124 15.200,124,15,200,-124.3055556,C 2-1,,,11/1/19
Year-round,48 11.250,48,11,250,48.25277778,W124 59.000,124,59,0,-124.9833333,C 1-3,Quad off Cape Alava,,11/1/19
Year-round,48 04.750,48,4,750,48.275,W125 02.500,125,2,500,-125.1722222,C 1-4,,Previous versions had 48 07.50 for  Lat.,11/1/19
Year-round,46 59.400,46,59,400,47.09444444,W124 38.000,124,38,0,-124.6333333,C 2-18,,,11/1/19
Year-round,46 56.900,46,56,900,47.18333333,W124 31.300,124,31,300,-124.6,C 2-17,,,11/1/19
Year-round,48 11.250,48,11,250,48.25277778,W124 59.000,124,59,0,-124.9833333,C 1-3,,,11/1/19
Year-round,46 51.000,46,51,0,46.85,W124 18.000,124,18,0,-124.3,C 2-3,Triangle off Grays Harbor,,11/1/19
Year-round,46 46.000,46,46,0,46.76666667,W124 26.400,124,26,400,-124.5444444,C 2-4,,,11/1/19
Year-round,46 55.050,46,55,50,46.93055556,W124 29.400,124,29,400,-124.5944444,C 2-5,,,11/1/19
Year-round,46 51.000,46,51,0,46.85,W124 18.000,124,18,0,-124.3,C 2-3,,,11/1/19
Year-round,46 55.600,46,55,600,47.08333333,W124 31.100,124,31,100,-124.5444444,C 2-13,Quad farther off Grays Harbor,,11/1/19
Year-round,46 58.100,46,58,100,46.99444444,W124 37.450,124,37,450,-124.7416667,C 2-14,,,11/1/19
Year-round,46 42.800,46,42,800,46.92222222,W124 31.600,124,31,600,-124.6833333,C 2-11,,,11/1/19
Year-round,46 45.100,46,45,100,46.77777778,W124 27.750,124,27,750,-124.6583333,C 2-12,,,11/1/19
Year-round,46 55.600,46,55,600,47.08333333,W124 31.100,124,31,100,-124.5444444,C 2-13,,,11/1/19
Year-round,46 51.850,46,51,850,47.08611111,W124 14.650,124,14,650,-124.4138889,C 2-2,South entrance to Grays Harbor,,11/1/19
Year-round,46 49.200,46,49,200,46.87222222,W124 18.750,124,18,750,-124.5083333,C 2-6,,,11/1/19
Year-round,46 48.350,46,48,350,46.89722222,W124 20.200,124,20,200,-124.3888889,C 2-7,3 sides off Willapa Bay,,11/1/19
Year-round,46 44.850,46,44,850,46.96944444,W124 26.100,124,26,100,-124.4611111,C 2-8,,,11/1/19
Year-round,46 34.500,46,34,500,46.70555556,W124 23.100,124,23,100,-124.4111111,C 3-25,,,11/1/19
Year-round,46 37.600,46,37,600,46.78333333,W124 18.200,124,18,200,-124.3555556,C 3-24,,,11/1/19
Year-round,46 44.000,46,44,0,46.73333333,W124 27.350,124,27,350,-124.5472222,C 2-9,Quad farther off Willapa Bay,,11/1/19
Year-round,46 41.600,46,41,600,46.85,W124 31.100,124,31,100,-124.5444444,C 2-10,,,11/1/19
Year-round,46 32.000,46,32,0,46.53333333,W124 27.500,124,27,500,-124.5888889,C 3-27,,,11/1/19
Year-round,46 33.800,46,33,800,46.77222222,W124 24.500,124,24,500,-124.5388889,C 3-26,,,11/1/19
Year-round,46 44.000,46,44,0,46.73333333,W124 27.350,124,27,350,-124.5472222,C 2-9,,,11/1/19
Year-round,46 42.250,46,42,250,46.76944444,W124 11.250,124,11,250,-124.2527778,C 2-22,North entrance to Willapa Bay,,11/1/19
Year-round,46 38.500,46,38,500,46.77222222,W124 16.900,124,16,900,-124.5166667,C 2-23,,,11/1/19
Year-round,46 41.100,46,41,100,46.71111111,W124 10.350,124,10,350,-124.2638889,C 2-21,South entrance to Willapa Bay,,11/1/19
Year-round,46 37.600,46,37,600,46.78333333,W124 16.600,124,16,600,-124.4333333,C 3-14,,,11/1/19
Year-round,46 36.500,46,36,500,46.73888889,W124 18.050,124,18,50,-124.3138889,C 3-13,Near off Long Beach,,11/1/19
Year-round,46 33.250,46,33,250,46.61944444,W124 22.750,124,22,750,-124.575,C 3-12,,,11/1/19
Year-round,46 15.200,46,15,200,46.30555556,W124 17.350,124,17,350,-124.3805556,C 3-7,,,11/1/19
Year-round,46 13.750,46,13,750,46.425,W124 16.000,124,16,0,-124.2666667,C 3-6,,,11/1/19
Year-round,46 13.500,46,13,500,46.35555556,W124 13.400,124,13,400,-124.3277778,C 3-5,,,11/1/19
Year-round,46 32.250,46,32,250,46.60277778,W124 24.250,124,24,250,-124.4694444,C 3-11,Quad farther off Long Beach,,11/1/19
Year-round,46 30.500,46,30,500,46.63888889,W124 27.000,124,27,0,-124.45,C 3-10,,,11/1/19
Year-round,46 17.500,46,17,500,46.42222222,W124 22.000,124,22,0,-124.3666667,C 3-9,,,11/1/19
Year-round,46 15.550,46,15,550,46.40277778,W124 19.300,124,19,300,-124.4,C 3-8,,,11/1/19
Year-round,46 32.250,46,32,250,46.60277778,W124 24.250,124,24,250,-124.4694444,C 3-11,,,11/1/19
Year-round,46 13.500,46,13,500,46.35555556,W124 10.000,124,10,0,-124.1666667,C 3-1,Columbia River north entrance,,11/1/19
Year-round,46 13.000,46,13,0,46.21666667,W124 12.000,124,12,0,-124.2,C 3-4,,,11/1/19
Year-round,46 12.000,46,12,0,46.2,W124 15.500,124,15,500,-124.3888889,C 3-18,Polygon off Columbia River,,11/1/19
Year-round,46 14.900,46,14,900,46.48333333,W124 22.800,124,22,800,-124.5888889,C 3-19,,,11/1/19
Year-round,46 14.900,46,14,900,46.48333333,W124 24.000,124,24,0,-124.4,C 3-28,,,11/1/19
Year-round,46 13.750,46,13,750,46.425,W124 24.400,124,24,400,-124.5111111,C 3-20,,,11/1/19
Year-round,46 05.960,46,5,960,46.35,W124 21.250,124,21,250,-124.4194444,3-17A,,,11/1/19
Year-round,46 10.250,46,10,250,46.23611111,W124 15.500,124,15,500,-124.3888889,C 3-17,,,11/1/19
Year-round,46 12.000,46,12,0,46.2,W124 15.500,124,15,500,-124.3888889,C 3-18,,,11/1/19
Year-round,46 11.300,46,11,300,46.26666667,W124 11.100,124,11,100,-124.2111111,C 3-3,3 sides off North Oregon coast,,11/1/19
Year-round,46 05.150,46,5,150,46.125,W124 19.250,124,19,250,-124.3861111,C 3-16,,,11/1/19
Year-round,45 38.750,45,38,750,45.84166667,W124 12.750,124,12,750,-124.4083333,C 4-8,,,11/1/19
Year-round,45 36.750,45,36,750,45.80833333,W124 05.250,124,5,250,-124.1527778,C 4-7,,,11/1/19
Year-round,45 34.750,45,34,750,45.775,W123 58.350,123,58,350,-124.0638889,C 4-1,North entrance Tillamook Bay,,11/1/19
Year-round,45 36.350,45,36,350,45.69722222,W124 03.200,124,3,200,-124.1055556,C 4-6,,,11/1/19
Year-round,45 33.500,45,33,500,45.68888889,W123 58.750,123,58,750,-124.175,C 4-2,South entrance Tillamook Bay,,11/1/19
Year-round,45 32.200,45,32,200,45.58888889,W124 02.300,124,2,300,-124.1166667,C 4-15,,,11/1/19
Year-round,45 34.250,45,34,250,45.63611111,W124 00.400,124,0,400,-124.1111111,C 4-3,Triangle off Tillamook Bay entrance,,11/1/19
Year-round,45 34.750,45,34,750,45.775,W124 02.200,124,2,200,-124.0888889,C 4-5,,,11/1/19
Year-round,45 33.600,45,33,600,45.71666667,W124 02.300,124,2,300,-124.1166667,C 4-4,,,11/1/19
Year-round,45 34.250,45,34,250,45.63611111,W124 00.400,124,0,400,-124.1111111,C 4-3,,,11/1/19
Year-round,45 37.500,45,37,500,45.75555556,W124 12.250,124,12,250,-124.2694444,C 4-9,Quad farther off Tillamook Bay entrance,,11/1/19
Year-round,45 35.400,45,35,400,45.69444444,W124 04.900,124,4,900,-124.3166667,C 4-10,,,11/1/19
Year-round,45 32.650,45,32,650,45.71388889,W124 05.100,124,5,100,-124.1111111,C 4-11,,,11/1/19
Year-round,45 30.150,45,30,150,45.54166667,W124 12.500,124,12,500,-124.3388889,C 4-12,,,11/1/19
Year-round,45 37.500,45,37,500,45.75555556,W124 12.250,124,12,250,-124.2694444,C 4-9,,,11/1/19
Year-round,45 31.250,45,31,250,45.58611111,W124 05.200,124,5,200,-124.1388889,C 4-14,Outer 3 sides off Pacific City,,11/1/19
Year-round,45 28.800,45,28,800,45.68888889,W124 12.500,124,12,500,-124.3388889,C 4-13,,,11/1/19
Year-round,44 48.942,44,48,942,45.06166667,W124 30.591,124,30,591,-124.6641667,N1,,,11/1/19
Year-round,44 41.466,44,41,466,44.81277778,W124 15.922,124,15,922,-124.5061111,N5,,,11/1/19
Year-round,44 40.273,44,40,273,44.7425,W124 13.595,124,13,595,-124.3819444,N6,Upper entrance to YB,,11/1/19
Year-round,44 36.564,44,36,564,44.75666667,W124 06.307,124,6,307,-124.1852778,N10,,,11/1/19
Year-round,44 34.916,44,34,916,44.82111111,W124 06.512,124,6,512,-124.2422222,N12,Lower entrance to YB,,11/1/19
Year-round,44 27.776,44,27,776,44.66555556,W124 15.322,124,15,322,-124.3394444,N16,,,11/1/19
Year-round,44 38.228,44,38,228,44.69666667,W124 14.377,124,14,377,-124.3380556,N8,Shoreward sides of YB triangle,,11/1/19
Year-round,44 35.710,44,35,710,44.78055556,W124 09.479,124,9,479,-124.2830556,N11,,,11/1/19
Year-round,44 30.908,44,30,908,44.75222222,W124 15.262,124,15,262,-124.3227778,N14,,,11/1/19
Year-round,44 39.474,44,39,474,44.78166667,W124 16.809,124,16,809,-124.4913889,N7,Outer sides of YB Polygon,,11/1/19
Year-round,44 46.950,44,46,950,45.03055556,W124 31.490,124,31,490,-124.6527778,N2,,,11/1/19
Year-round,44 25.800,44,25,800,44.63888889,W124 41.000,124,41,0,-124.6833333,C 5-21,,,11/1/19
Year-round,44 18.444,44,18,444,44.42333333,W124 41.003,124,41,3,-124.6841667,N22,,,11/1/19
Year-round,44 26.763,44,26,763,44.64527778,W124 21.657,124,21,657,-124.5325,N17,,,11/1/19
Year-round,44 28.286,44,28,286,44.54611111,W124 18.367,124,18,367,-124.4019444,N15,,,11/1/19
Year-round,44 24.250,44,24,250,44.46944444,W124 43.750,124,43,750,-124.925,5 20,Outside of outer lane at Heceta Banks,,11/1/19
Year-round,43 57.500,43,57,500,44.08888889,W124 43.750,124,43,750,-124.925,5 22,,,11/1/19
Year-round,43 57.500,43,57,500,44.08888889,W124 41.00,124,41,0,-124.6833333,5 23,S inner point of offshore Heceta Banks towlane,,11/1/19
Year-round,44 16.124,44,16,124,44.30111111,W124 41.001,124,41,1,-124.6836111,N23,corner of S YB entrance Towlane,,11/1/19
Year-round,44 25.081,44,25,81,44.43916667,W124 20.042,124,20,42,-124.345,N20,point on line,,11/1/19
Year-round,44 26.000,44,26,0,44.43333333,W124 18.150,124,18,150,-124.3416667,N18,At corner of S entrance and summer towlanes ,,11/1/19
Year-round,43 39.500,43,39,500,43.78888889,W124 13.900,124,13,900,-124.4666667,C 6-6,Shoreward lane & harbor entrances Ump. to CB,,11/1/19
Year-round,43 38.600,43,38,600,43.8,W124 15.850,124,15,850,-124.4861111,C 6-7,,,11/1/19
Year-round,43 23.500,43,23,500,43.52222222,W124 24.500,124,24,500,-124.5388889,C 6-13,,,11/1/19
Year-round,43 22.500,43,22,500,43.50555556,W124 22.900,124,22,900,-124.6166667,C 6-14,,,11/1/19
Year-round,43 38.100,43,38,100,43.66111111,W124 18.900,124,18,900,-124.55,C 6-8,Quad shoreward side Ump. To CB,,11/1/19
Year-round,43 24.500,43,24,500,43.53888889,W124 26.250,124,26,250,-124.5027778,C 6-12,,,11/1/19
Year-round,43 18.600,43,18,600,43.46666667,W124 32.850,124,32,850,-124.7694444,C 6-19,Inshore Coos Bay to Bandon,,11/1/19
Year-round,43 14.850,43,14,850,43.46944444,W124 34.750,124,34,750,-124.775,C 6-20,,,11/1/19
Year-round,43 08.750,43,8,750,43.34166667,W124 28.400,124,28,400,-124.5777778,C 6-26,,,11/1/19
Year-round,43 12.750,43,12,750,43.40833333,W124 36.000,124,36,0,-124.6,C 6-21,Quad/Triangle off Bandon,,11/1/19
Year-round,43 08.500,43,8,500,43.27222222,W124 38.000,124,38,0,-124.6333333,C 6-22,,,11/1/19
Year-round,43 04.100,43,4,100,43.09444444,W124 39.400,124,39,400,-124.7611111,C 6-24,,,11/1/19
Year-round,43 08.500,43,8,500,43.27222222,W124 31.100,124,31,100,-124.5444444,C 6-25,,,11/1/19
Year-round,43 12.750,43,12,750,43.40833333,W124 36.000,124,36,0,-124.6,C 6-21,,,11/1/19
