type,lat_dms,lat_d,lat_m,lat_dd,long_dms,long_d,long_m,long_dd,label,location,notes,live,line,order,line_order_comb
Year-round,48 11.250,48,11.250,48.1875,W124 49.000,124,49.000,-124.8166667,C 1-1,Inside at Cape Alava,,11/1/2019,y_1_,1,y_1_ 1
Year-round,48 13.400,48,13.400,48.22333333,W124 57.900,124,57.900,-124.965,C 1-2,,,11/1/2019,y_1_,2,y_1_ 2
Year-round,46 56.250,46,56.250,46.9375,W124 29.600,124,29.600,-124.4933333,C 2-16,,,11/1/2019,y_1_,3,y_1_ 3
Year-round,46 51.700,46,51.700,46.86166667,W124 17.000,124,17.000,-124.2833333,C 2-15,,,11/1/2019,y_1_,4,y_1_ 4
Year-round,46 53.150,46,53.150,46.88583333,W124 15.200,124,15.200,-124.2533333,C 2-1,,,11/1/2019,y_1_,5,y_1_ 5
Year-round,48 11.250,48,11.250,48.1875,W124 59.000,124,59.000,-124.9833333,C 1-3,Quad off Cape Alava,,11/1/2019,y_2_,1,y_2_ 1
Year-round,48 04.750,48,04.750,48.07916667,W125 02.500,125,02.500,-125.0416667,C 1-4,,Previous versions had 48 07.50 for  Lat.,11/1/2019,y_2_,2,y_2_ 2
Year-round,46 59.400,46,59.400,46.99,W124 38.000,124,38.000,-124.6333333,C 2-18,,,11/1/2019,y_2_,3,y_2_ 3
Year-round,46 56.900,46,56.900,46.94833333,W124 31.300,124,31.300,-124.5216667,C 2-17,,,11/1/2019,y_2_,4,y_2_ 4
Year-round,48 11.250,48,11.250,48.1875,W124 59.000,124,59.000,-124.9833333,C 1-3,,,11/1/2019,y_2_,5,y_2_ 5
Year-round,46 51.000,46,51.000,46.85,W124 18.000,124,18.000,-124.3,C 2-3,Triangle off Grays Harbor,,11/1/2019,y_3_,1,y_3_ 1
Year-round,46 46.000,46,46.000,46.76666667,W124 26.400,124,26.400,-124.44,C 2-4,,,11/1/2019,y_3_,2,y_3_ 2
