type,lat_dms,lat_d,lat_m,lat_s,lat_dd,lat_dd_b,long_dms,long_d,long_m,long_s,long_dd,long_dd_b,label,location,notes,live,line,order
Year-round,48 11.250,48,11,250,48.25277778,48.25277778,W124 49.000,124,49,0,-124.8166667,-124.8166667,C 1-1,Inside at Cape Alava,,11/1/19,y_1_,1
Year-round,48 13.400,48,13,400,48.32777778,48.32777778,W124 57.900,124,57,900,-125.2,-125.2,C 1-2,,,11/1/19,y_1_,2
Year-round,46 56.250,46,56,250,47.00277778,47.00277778,W124 29.600,124,29,600,-124.65,-124.65,C 2-16,,,11/1/19,y_1_,3
Year-round,46 51.700,46,51,700,47.04444444,47.04444444,W124 17.000,124,17,0,-124.2833333,-124.2833333,C 2-15,,,11/1/19,y_1_,4
Year-round,46 53.150,46,53,150,46.925,46.925,W124 15.200,124,15,200,-124.3055556,-124.3055556,C 2-1,,,11/1/19,y_1_,5
Year-round,48 11.250,48,11,250,48.25277778,48.25277778,W124 59.000,124,59,0,-124.9833333,-124.9833333,C 1-3,Quad off Cape Alava,,11/1/19,y_2_,1
Year-round,48 04.750,48,4,750,48.275,48.275,W125 02.500,125,2,500,-125.1722222,-125.1722222,C 1-4,,Previous versions had 48 07.50 for  Lat.,11/1/19,y_2_,2
Year-round,46 59.400,46,59,400,47.09444444,47.09444444,W124 38.000,124,38,0,-124.6333333,-124.6333333,C 2-18,,,11/1/19,y_2_,3
Year-round,46 56.900,46,56,900,47.18333333,47.18333333,W124 31.300,124,31,300,-124.6,-124.6,C 2-17,,,11/1/19,y_2_,4
Year-round,48 11.250,48,11,250,48.25277778,48.25277778,W124 59.000,124,59,0,-124.9833333,-124.9833333,C 1-3,,,11/1/19,y_2_,5
Year-round,46 51.000,46,51,0,46.85,46.85,W124 18.000,124,18,0,-124.3,-124.3,C 2-3,Triangle off Grays Harbor,,11/1/19,y_3_,1
Year-round,46 46.000,46,46,0,46.76666667,46.76666667,W124 26.400,124,26,400,-124.5444444,-124.5444444,C 2-4,,,11/1/19,y_3_,2
Year-round,46 55.050,46,55,50,46.93055556,46.93055556,W124 29.400,124,29,400,-124.5944444,-124.5944444,C 2-5,,,11/1/19,y_3_,3
Year-round,46 51.000,46,51,0,46.85,46.85,W124 18.000,124,18,0,-124.3,-124.3,C 2-3,,,11/1/19,y_3_,4
Year-round,46 55.600,46,55,600,47.08333333,47.08333333,W124 31.100,124,31,100,-124.5444444,-124.5444444,C 2-13,Quad farther off Grays Harbor,,11/1/19,y_4_,1
Year-round,46 58.100,46,58,100,46.99444444,46.99444444,W124 37.450,124,37,450,-124.7416667,-124.7416667,C 2-14,,,11/1/19,y_4_,2
Year-round,46 42.800,46,42,800,46.92222222,46.92222222,W124 31.600,124,31,600,-124.6833333,-124.6833333,C 2-11,,,11/1/19,y_4_,3
Year-round,46 45.100,46,45,100,46.77777778,46.77777778,W124 27.750,124,27,750,-124.6583333,-124.6583333,C 2-12,,,11/1/19,y_4_,4
Year-round,46 55.600,46,55,600,47.08333333,47.08333333,W124 31.100,124,31,100,-124.5444444,-124.5444444,C 2-13,,,11/1/19,y_4_,5
Year-round,46 51.850,46,51,850,47.08611111,47.08611111,W124 14.650,124,14,650,-124.4138889,-124.4138889,C 2-2,South entrance to Grays Harbor,,11/1/19,y_5_,1
Year-round,46 49.200,46,49,200,46.87222222,46.87222222,W124 18.750,124,18,750,-124.5083333,-124.5083333,C 2-6,,,11/1/19,y_5_,2
Year-round,46 48.350,46,48,350,46.89722222,46.89722222,W124 20.200,124,20,200,-124.3888889,-124.3888889,C 2-7,3 sides off Willapa Bay,,11/1/19,y_6_,1
Year-round,46 44.850,46,44,850,46.96944444,46.96944444,W124 26.100,124,26,100,-124.4611111,-124.4611111,C 2-8,,,11/1/19,y_6_,2
Year-round,46 34.500,46,34,500,46.70555556,46.70555556,W124 23.100,124,23,100,-124.4111111,-124.4111111,C 3-25,,,11/1/19,y_6_,3
Year-round,46 37.600,46,37,600,46.78333333,46.78333333,W124 18.200,124,18,200,-124.3555556,-124.3555556,C 3-24,,,11/1/19,y_6_,4
Year-round,46 44.000,46,44,0,46.73333333,46.73333333,W124 27.350,124,27,350,-124.5472222,-124.5472222,C 2-9,Quad farther off Willapa Bay,,11/1/19,y_7_,1
Year-round,46 41.600,46,41,600,46.85,46.85,W124 31.100,124,31,100,-124.5444444,-124.5444444,C 2-10,,,11/1/19,y_7_,2
Year-round,46 32.000,46,32,0,46.53333333,46.53333333,W124 27.500,124,27,500,-124.5888889,-124.5888889,C 3-27,,,11/1/19,y_7_,3
Year-round,46 33.800,46,33,800,46.77222222,46.77222222,W124 24.500,124,24,500,-124.5388889,-124.5388889,C 3-26,,,11/1/19,y_7_,4
Year-round,46 44.000,46,44,0,46.73333333,46.73333333,W124 27.350,124,27,350,-124.5472222,-124.5472222,C 2-9,,,11/1/19,y_7_,5
Year-round,46 42.250,46,42,250,46.76944444,46.76944444,W124 11.250,124,11,250,-124.2527778,-124.2527778,C 2-22,North entrance to Willapa Bay,,11/1/19,y_8_,1
Year-round,46 38.500,46,38,500,46.77222222,46.77222222,W124 16.900,124,16,900,-124.5166667,-124.5166667,C 2-23,,,11/1/19,y_8_,2
